mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,brand
18.0,8.0,307.0,130.0,3504.0,12.0,70.0,1.0,chevrolet chevelle malibu,chevrolet
15.0,8.0,350.0,165.0,3693.0,11.5,70.0,1.0,buick skylark 320,buick
18.0,8.0,318.0,150.0,3436.0,11.0,70.0,1.0,plymouth satellite,plymouth
16.0,8.0,304.0,150.0,3433.0,12.0,70.0,1.0,amc rebel sst,amc
17.0,8.0,302.0,140.0,3449.0,10.5,70.0,1.0,ford torino,ford
15.0,8.0,429.0,198.0,4341.0,10.0,70.0,1.0,ford galaxie 500,ford
14.0,8.0,454.0,220.0,4354.0,9.0,70.0,1.0,chevrolet impala,chevrolet
14.0,8.0,440.0,215.0,4312.0,8.5,70.0,1.0,plymouth fury iii,plymouth
14.0,8.0,455.0,225.0,4425.0,10.0,70.0,1.0,pontiac catalina,pontiac
15.0,8.0,390.0,190.0,3850.0,8.5,70.0,1.0,amc ambassador dpl,amc
15.0,8.0,383.0,170.0,3563.0,10.0,70.0,1.0,dodge challenger se,dodge
14.0,8.0,340.0,160.0,3609.0,8.0,70.0,1.0,plymouth 'cuda 340,plymouth
15.0,8.0,400.0,150.0,3761.0,9.5,70.0,1.0,chevrolet monte carlo,chevrolet
14.0,8.0,455.0,225.0,3086.0,10.0,70.0,1.0,buick estate wagon (sw),buick
24.0,4.0,113.0,95.0,2372.0,15.0,70.0,3.0,toyota corona mark ii,toyota
22.0,6.0,198.0,95.0,2833.0,15.5,70.0,1.0,plymouth duster,plymouth
18.0,6.0,199.0,97.0,2774.0,15.5,70.0,1.0,amc hornet,amc
21.0,6.0,200.0,85.0,2587.0,16.0,70.0,1.0,ford maverick,ford
27.0,4.0,97.0,88.0,2130.0,14.5,70.0,3.0,datsun pl510,datsun
26.0,4.0,97.0,46.0,1835.0,20.5,70.0,2.0,volkswagen 1131 deluxe sedan,volkswagen
25.0,4.0,110.0,87.0,2672.0,17.5,70.0,2.0,peugeot 504,peugeot
24.0,4.0,107.0,90.0,2430.0,14.5,70.0,2.0,audi 100 ls,audi
25.0,4.0,104.0,95.0,2375.0,17.5,70.0,2.0,saab 99e,saab
26.0,4.0,121.0,113.0,2234.0,12.5,70.0,2.0,bmw 2002,bmw
21.0,6.0,199.0,90.0,2648.0,15.0,70.0,1.0,amc gremlin,amc
10.0,8.0,360.0,215.0,4615.0,14.0,70.0,1.0,ford f250,ford
10.0,8.0,307.0,200.0,4376.0,15.0,70.0,1.0,chevy c20,chevy
11.0,8.0,318.0,210.0,4382.0,13.5,70.0,1.0,dodge d200,dodge
9.0,8.0,304.0,193.0,4732.0,18.5,70.0,1.0,hi 1200d,hi
27.0,4.0,97.0,88.0,2130.0,14.5,71.0,3.0,datsun pl510,datsun
28.0,4.0,140.0,90.0,2264.0,15.5,71.0,1.0,chevrolet vega 2300,chevrolet
25.0,4.0,113.0,95.0,2228.0,14.0,71.0,3.0,toyota corona,toyota
19.0,6.0,232.0,100.0,2634.0,13.0,71.0,1.0,amc gremlin,amc
16.0,6.0,225.0,105.0,3439.0,15.5,71.0,1.0,plymouth satellite custom,plymouth
17.0,6.0,250.0,100.0,3329.0,15.5,71.0,1.0,chevrolet chevelle malibu,chevrolet
19.0,6.0,250.0,88.0,3302.0,15.5,71.0,1.0,ford torino 500,ford
18.0,6.0,232.0,100.0,3288.0,15.5,71.0,1.0,amc matador,amc
14.0,8.0,350.0,165.0,4209.0,12.0,71.0,1.0,chevrolet impala,chevrolet
14.0,8.0,400.0,175.0,4464.0,11.5,71.0,1.0,pontiac catalina brougham,pontiac
14.0,8.0,351.0,153.0,4154.0,13.5,71.0,1.0,ford galaxie 500,ford
14.0,8.0,318.0,150.0,4096.0,13.0,71.0,1.0,plymouth fury iii,plymouth
12.0,8.0,383.0,180.0,4955.0,11.5,71.0,1.0,dodge monaco (sw),dodge
13.0,8.0,400.0,170.0,4746.0,12.0,71.0,1.0,ford country squire (sw),ford
13.0,8.0,400.0,175.0,5140.0,12.0,71.0,1.0,pontiac safari (sw),pontiac
18.0,6.0,258.0,110.0,2962.0,13.5,71.0,1.0,amc hornet sportabout (sw),amc
22.0,4.0,140.0,72.0,2408.0,19.0,71.0,1.0,chevrolet vega (sw),chevrolet
19.0,6.0,250.0,100.0,3282.0,15.0,71.0,1.0,pontiac firebird,pontiac
18.0,6.0,250.0,88.0,3139.0,14.5,71.0,1.0,ford mustang,ford
23.0,4.0,122.0,86.0,2220.0,14.0,71.0,1.0,mercury capri 2000,mercury
28.0,4.0,116.0,90.0,2123.0,14.0,71.0,2.0,opel 1900,opel
30.0,4.0,79.0,70.0,2074.0,19.5,71.0,2.0,peugeot 304,peugeot
30.0,4.0,88.0,76.0,2065.0,14.5,71.0,2.0,fiat 124b,fiat
31.0,4.0,71.0,65.0,1773.0,19.0,71.0,3.0,toyota corolla 1200,toyota
35.0,4.0,72.0,69.0,1613.0,18.0,71.0,3.0,datsun 1200,datsun
27.0,4.0,97.0,60.0,1834.0,19.0,71.0,2.0,volkswagen model 111,volkswagen
26.0,4.0,91.0,70.0,1955.0,20.5,71.0,1.0,plymouth cricket,plymouth
24.0,4.0,113.0,95.0,2278.0,15.5,72.0,3.0,toyota corona hardtop,toyota
25.0,4.0,97.5,80.0,2126.0,17.0,72.0,1.0,dodge colt hardtop,dodge
23.0,4.0,97.0,54.0,2254.0,23.5,72.0,2.0,volkswagen type 3,volkswagen
20.0,4.0,140.0,90.0,2408.0,19.5,72.0,1.0,chevrolet vega,chevrolet
21.0,4.0,122.0,86.0,2226.0,16.5,72.0,1.0,ford pinto runabout,ford
13.0,8.0,350.0,165.0,4274.0,12.0,72.0,1.0,chevrolet impala,chevrolet
14.0,8.0,400.0,175.0,4385.0,12.0,72.0,1.0,pontiac catalina,pontiac
15.0,8.0,318.0,150.0,4135.0,13.5,72.0,1.0,plymouth fury iii,plymouth
14.0,8.0,351.0,153.0,4129.0,13.0,72.0,1.0,ford galaxie 500,ford
17.0,8.0,304.0,150.0,3672.0,11.5,72.0,1.0,amc ambassador sst,amc
11.0,8.0,429.0,208.0,4633.0,11.0,72.0,1.0,mercury marquis,mercury
13.0,8.0,350.0,155.0,4502.0,13.5,72.0,1.0,buick lesabre custom,buick
12.0,8.0,350.0,160.0,4456.0,13.5,72.0,1.0,oldsmobile delta 88 royale,oldsmobile
13.0,8.0,400.0,190.0,4422.0,12.5,72.0,1.0,chrysler newport royal,chrysler
19.0,3.0,70.0,97.0,2330.0,13.5,72.0,3.0,mazda rx2 coupe,mazda
15.0,8.0,304.0,150.0,3892.0,12.5,72.0,1.0,amc matador (sw),amc
